Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
ship name generator,Informational,14800,"0.67,0.82,0.67,1.00,0.67,0.67,1.00,0.67,1.00,0.82,0.82,0.82",25,0.00,0.00,"Sitelinks, Reviews, Video, Related searches",52700000
rap name generator,Informational,12100,"1.00,0.55,0.55,0.82,0.82,0.55,0.67,0.55,0.55,0.55,0.55,0.55",12,0.00,0.00,"Sitelinks, Reviews, Image, Video, People also ask, Related searches",23600000
superhero name generator,Informational,12100,"1.00,1.00,1.00,1.00,0.82,1.00,1.00,1.00,0.67,0.82,0.82,0.67",29,0.00,0.00,"Sitelinks, Reviews, Video, Related searches, People also search",12500000
team name generator,Commercial,12100,"1.00,1.00,1.00,0.81,0.67,0.67,1.00,1.00,0.81,0.54,0.54,0.67",29,0.04,0.03,"Reviews, Related searches",584000000
middle name generator,Commercial,9900,"0.82,0.55,0.82,1.00,0.82,1.00,0.82,0.67,0.82,0.82,0.82,0.67",17,0.00,0.00,"Reviews, Video, Related searches",171000000
wu tang name generator,Informational,9900,"0.81,0.44,0.44,0.54,1.00,0.81,0.67,0.67,0.30,0.35,0.44,0.44",19,0.00,0.00,"Sitelinks, Reviews, Video, Related searches",7380000
dragon name generator,Informational,8100,"0.81,0.67,0.67,0.67,0.81,1.00,1.00,1.00,0.67,1.00,0.81,0.81",18,0.05,0.00,"Sitelinks, Reviews, Image, People also ask, Related searches",57700000
drow name generator,Informational,6600,"1.00,0.67,0.67,0.67,0.67,0.53,0.67,0.81,0.81,0.53,0.67,0.67",22,0.00,0.00,"Sitelinks, Reviews, Image pack, Video, Related searches",90
harry potter name generator,Informational,6600,"0.67,0.44,0.44,0.44,0.44,0.44,0.44,0.67,0.67,0.67,1.00,0.78",20,0.00,0.00,"Sitelinks, Reviews, Image pack, Video, People also ask, Related searches",8310000
rapper name generator,Commercial,6600,"1.00,0.54,1.00,0.44,0.44,0.81,0.44,0.44,0.30,0.23,0.54,0.23",9,0.00,0.00,"Sitelinks, Reviews, Video, Related searches",19700000
dragonborn name generator,Informational,5400,"0.79,0.79,0.67,0.54,0.67,0.54,1.00,1.00,0.67,0.67,0.54,0.79",20,0.00,0.00,"Sitelinks, Image pack, Related searches",93
dungeons and dragons name generator,Informational,5400,"0.16,0.20,0.30,0.54,1.00,0.36,0.30,0.23,0.36,0.16,0.10,0.20",25,0.00,0.00,"Sitelinks, Reviews, Image pack, Video, Related searches",3430000
dwarven name generator,Informational,5400,"0.81,0.81,0.67,0.67,0.81,0.81,1.00,1.00,0.81,0.81,0.81,0.81",26,0.00,0.00,"Sitelinks, Reviews, People also ask, Related searches",272000
fantasy football team name generator,Informational,5400,"0.00,0.01,0.00,0.01,0.04,0.10,1.00,0.83,0.06,0.04,0.02,0.01",23,0.00,0.00,"Sitelinks, Reviews, Related searches",3220000
kingdom name generator,Informational,5400,"0.81,0.66,0.66,0.66,0.66,0.81,1.00,0.66,0.54,0.66,0.81,0.81",12,0.00,0.00,"Sitelinks, Reviews, Image pack, Video, Related searches",99600000
planet name generator,Informational,5400,"0.81,1.00,1.00,1.00,0.81,0.67,0.81,0.81,0.81,0.81,0.81,0.81",11,0.00,0.00,"Sitelinks, Related searches",45400000
song name generator,Informational,5400,"0.81,1.00,0.81,0.81,0.81,0.81,1.00,0.66,0.81,1.00,0.54,0.66",24,1.36,0.00,"Sitelinks, Reviews, Video, Related searches",108000000
demon name generator,Informational,4400,"1.00,0.81,0.67,0.81,0.67,0.54,0.54,0.81,0.67,0.67,0.67,0.54",19,0.00,0.00,"Reviews, Related searches",35100000
fantasy football name generator,Informational,4400,"0.01,0.02,0.01,0.02,0.04,0.10,1.00,1.00,0.05,0.05,0.04,0.01",26,0.00,0.00,"Sitelinks, People also ask, Related searches",95
farm name generator,Commercial,4400,"0.54,1.00,0.81,0.66,0.54,0.54,0.54,0.43,0.43,0.66,0.54,0.54",20,0.08,0.10,"Sitelinks, Reviews, Video, People also ask, Related searches",96200000
funny name generator,Informational,4400,"0.81,1.00,1.00,1.00,0.66,0.81,0.81,0.81,0.81,1.00,0.81,1.00",24,0.00,0.00,"Sitelinks, Reviews, Video, Related searches",289000000
group name generator,Commercial,4400,"0.81,0.81,0.81,0.81,0.66,0.66,0.81,1.00,0.81,0.81,0.66,0.81",27,0.06,0.03,"Reviews, Video, People also ask, Related searches",1120000000
mlp name generator,Informational,4400,"1.00,0.66,0.54,0.66,0.54,0.44,0.54,0.35,0.44,0.44,0.44,0.44",9,0.00,0.00,"Sitelinks, Reviews, Video, Related searches",3960000
orc name generator,Navigational,4400,"0.67,0.67,0.67,0.67,0.82,0.82,0.82,1.00,0.82,0.82,0.82,0.82",20,0.00,0.00,"Sitelinks, Video, Related searches",2330000
school name generator,Commercial,4400,"0.24,1.00,0.29,0.29,0.44,0.18,0.44,0.24,0.24,0.44,0.55,0.55",22,0.00,0.00,"Sitelinks, Reviews, People also ask, Related searches",633000000
viking name generator,Informational,4400,"0.53,0.53,0.53,0.53,0.44,0.53,0.53,0.44,0.67,1.00,0.67,1.00",27,1.66,0.01,"Sitelinks, Reviews, Related searches",5230000
wizard name generator,Informational,4400,"0.77,0.77,0.62,0.77,0.77,0.77,0.77,1.00,0.77,0.77,1.00,0.77",14,0.00,0.00,"Reviews, Image pack, Related searches",38800000
xbox name generator,Informational,4400,"0.44,0.55,0.67,0.67,0.82,0.82,0.67,0.44,0.67,1.00,0.82,0.82",21,0.00,0.00,"Sitelinks, Video, Related searches",57500000
anime name generator,"Informational, Commercial",3600,"0.65,0.65,0.81,0.81,0.81,1.00,0.81,0.65,0.65,0.81,0.65,0.65",17,0.00,0.00,"Reviews, Image, Image pack, People also ask, Related searches",51200000
chinese name generator,Informational,3600,"1.00,0.82,0.65,0.65,0.82,0.55,0.82,0.55,0.82,0.65,0.82,1.00",24,0.00,0.00,"Reviews, Image pack, Video, Related searches",334000000
d and d name generator,Informational,3600,"0.07,0.81,0.10,0.44,0.05,0.12,0.23,0.07,0.36,0.05,1.00,0.07",21,0.00,0.00,"Sitelinks, Reviews, Video, Related searches",1180000000
deity name generator,Informational,3600,"0.81,0.81,0.81,0.81,1.00,0.65,0.81,0.54,0.65,0.54,0.54,1.00",12,0.00,0.00,"Reviews, Related searches",100
fantasy city name generator,Informational,3600,"0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.65,1.00",19,0.00,0.00,"Sitelinks, Reviews, Related searches",95
fantasy last name generator,Informational,3600,"0.66,0.53,0.81,0.81,0.66,1.00,0.81,0.66,0.66,0.66,0.66,0.81",14,0.00,0.00,"Sitelinks, Reviews, Discussions and forums, Related searches",94
fantasy town name generator,Informational,3600,"0.53,0.53,0.44,0.66,0.44,0.66,0.66,0.53,0.53,1.00,0.66,0.81",19,0.00,0.00,"Sitelinks, Reviews, Video, Related searches",7690000
